Rank,Team,GM,W-L,OPP PTS,OPP PPG
101,Colorado St. (Mountain West),35,26-9,"2,229",63.7
97,Colorado (Pac-12),33,21-12,"2,098",63.6
37,Columbia (Ivy League),28,12-16,"1,694",60.5
277,Coppin St. (MEAC),32,8-24,"2,277",71.2
257,Cornell (Ivy League),31,13-18,"2,168",69.9
83,Creighton (MVC),36,28-8,"2,274",63.2
236,CSU Bakersfield (Independent),30,14-16,"2,070",69
322,CSUN (Big West),31,14-17,"2,309",74.5
153,Dartmouth (Ivy League),28,9-19,"1,844",65.9
55,Davidson (SoCon),34,26-8,"2,110",62.1
175,Dayton (Atlantic 10),31,17-14,"2,067",66.7
90,Delaware St. (MEAC),33,15-18,"2,094",63.5
233,Delaware (CAA),33,19-14,"2,275",68.9
6,Denver (WAC),32,22-10,"1,790",55.9
326,DePaul (AAC),32,11-21,"2,409",75.3
272,Detroit Mercy (Horizon),33,20-13,"2,340",70.9
304,Drake (MVC),32,15-17,"2,319",72.5
81,Drexel (CAA),31,13-18,"1,956",63.1
135,Duke (ACC),36,30-6,"2,350",65.3
330,Duquesne (Atlantic 10),30,8-22,"2,269",75.6
275,East Carolina (C-USA),35,23-12,"2,484",71
110,Eastern Ill. (OVC),32,11-21,"2,055",64.2
152,Eastern Ky. (OVC),35,25-10,"2,303",65.8
26,Eastern Mich. (MAC),34,16-18,"2,011",59.1
323,Eastern Wash. (Big Sky),31,10-21,"2,310",74.5
127,Elon (SoCon),33,21-12,"2,144",65
281,ETSU (ASUN),32,10-22,"2,284",71.4
155,Evansville (MVC),36,21-15,"2,374",65.9
27,Fairfield (MAAC),35,19-16,"2,071",59.2
344,Fairleigh Dickinson (NEC),31,7-24,"2,448",79
177,FGCU (ASUN),37,26-11,"2,469",66.7
238,FIU (Sun Belt),32,18-14,"2,209",69
197,Fla. Atlantic (Sun Belt),32,14-18,"2,164",67.6
301,Florida A&M (MEAC),31,8-23,"2,235",72.1
223,Florida St. (ACC),34,18-16,"2,329",68.5
3,Florida (SEC),37,29-8,"2,012",54.4
331,Fordham (Atlantic 10),31,7-24,"2,353",75.9
43,Fresno St. (Mountain West),30,11-19,"1,829",61
266,Furman (SoCon),31,7-24,"2,180",70.3
129,Ga. Southern (SoCon),33,14-19,"2,148",65.1
41,Gardner-Webb (Big South),34,21-13,"2,066",60.8
154,George Mason (CAA),38,22-16,"2,504",65.9
143,George Washington (Atlantic 10),30,13-17,"1,966",65.5
10,Georgetown (AAC),32,25-7,"1,806",56.4
182,Georgia St. (CAA),31,15-16,"2,075",66.9
63,Georgia Tech (ACC),31,16-15,"1,933",62.4
51,Georgia (SEC),32,15-17,"1,971",61.6
31,Gonzaga (WCC),35,32-3,"2,095",59.9
335,Grambling (SWAC),28,0-28,"2,138",76.4
78,Green Bay (Horizon),34,18-16,"2,142",63
107,Hampton (MEAC),31,14-17,"1,983",64
48,Hartford (America East),31,17-14,"1,898",61.2
109,Harvard (Ivy League),30,20-10,"1,924",64.1
299,Hawaii (Big West),32,17-15,"2,305",72
160,High Point (Big South),31,17-14,"2,052",66.2
172,Hofstra (CAA),32,7-25,"2,132",66.6
113,Holy Cross (Patriot),30,12-18,"1,929",64.3
186,Houston Baptist (GWC),31,14-17,"2,080",67.1
317,Houston (C-USA),33,20-13,"2,420",73.3
35,Howard (MEAC),31,7-24,"1,868",60.3
111,Idaho St. (Big Sky),30,6-24,"1,928",64.3
243,Idaho (WAC),30,12-18,"2,079",69.3
225,Illinois St. (MVC),33,18-15,"2,265",68.6
123,Illinois (Big Ten),36,23-13,"2,332",64.8
144,Indiana St. (MVC),33,18-15,"2,164",65.6
57,Indiana (Big Ten),36,29-7,"2,236",62.1
334,Iona (MAAC),34,20-14,"2,595",76.3
276,Iowa St. (Big 12),35,23-12,"2,486",71
75,Iowa (Big Ten),38,25-13,"2,388",62.8
338,IUPUI (Summit League),32,6-26,"2,451",76.6
284,Jackson St. (SWAC),29,11-18,"2,073",71.5
126,Jacksonville St. (OVC),28,17-11,"1,817",64.9
