Rank,Team,GM,W-L,PTS,PPG
133,Southeastern La. (Southland),29,15-14,"2,031",70
242,Southern California (Pac-12),34,19-15,"2,252",66.2
308,Southern Ill. (MVC),32,13-19,"1,953",61
48,Southern Miss. (C-USA),32,22-10,"2,371",74.1
335,Southern U. (SWAC),30,4-26,"1,701",56.7
156,Southern Utah (Summit League),30,11-19,"2,077",69.2
149,St. Bonaventure (Atlantic 10),31,16-15,"2,156",69.5
225,St. Francis Brooklyn (NEC),30,15-15,"2,002",66.7
130,St. John's (NY) (AAC),33,21-12,"2,313",70.1
234,Stanford (Pac-12),31,15-16,"2,058",66.4
283,Stetson (ASUN),31,8-23,"1,986",64.1
309,Stony Brook (America East),32,15-17,"1,951",61
58,Syracuse (AAC),35,27-8,"2,568",73.4
213,TCU (Mountain West),33,11-22,"2,220",67.3
116,Temple (Atlantic 10),34,26-8,"2,400",70.6
189,Tennessee St. (OVC),30,14-16,"2,044",68.1
41,Tennessee Tech (OVC),33,20-13,"2,462",74.6
138,Tennessee (SEC),34,19-15,"2,376",69.9
182,Texas A&M (Big 12),33,24-9,"2,254",68.3
277,Texas Southern (SWAC),32,19-13,"2,056",64.3
15,Texas St. (Southland),32,16-16,"2,506",78.3
62,Texas Tech (Big 12),32,13-19,"2,342",73.2
36,Texas (Big 12),36,28-8,"2,701",75
284,The Citadel (SoCon),32,10-22,"2,049",64
333,Toledo (MAC),32,4-28,"1,853",57.9
177,Towson (CAA),30,4-26,"2,053",68.4
93,Troy (Sun Belt),29,8-21,"2,076",71.6
172,Tulane (C-USA),30,13-17,"2,057",68.6
120,Tulsa (C-USA),32,19-13,"2,255",70.5
180,UAB (C-USA),31,22-9,"2,119",68.4
102,UC Davis (Big West),30,10-20,"2,136",71.2
33,UC Irvine (Big West),32,13-19,"2,411",75.3
249,UC Riverside (Big West),31,12-19,"2,044",65.9
200,UC Santa Barbara (Big West),32,18-14,"2,170",67.8
165,UCF (C-USA),33,21-12,"2,271",68.8
132,UCLA (Pac-12),34,23-11,"2,382",70.1
74,UConn (AAC),41,32-9,"2,967",72.4
294,UIC (Horizon),31,7-24,"1,943",62.7
323,ULM (Sun Belt),31,7-24,"1,859",60
276,UMBC (America East),30,5-25,"1,928",64.3
205,UMES (MEAC),31,9-22,"2,096",67.6
54,UNC Asheville (Big South),34,20-14,"2,506",73.7
103,UNC Greensboro (SoCon),31,7-24,"2,204",71.1
287,UNCW (CAA),31,13-18,"1,975",63.7
286,UNI (MVC),34,20-14,"2,167",63.7
91,UNLV (Mountain West),33,24-9,"2,363",71.6
109,UT Arlington (Southland),29,13-16,"2,055",70.9
171,UT Martin (OVC),33,12-21,"2,264",68.6
80,Utah St. (WAC),34,30-4,"2,449",72
30,Utah Valley (Utah Valley),30,19-11,"2,276",75.9
222,Utah (Mountain West),31,13-18,"2,078",67
117,UTEP (C-USA),35,25-10,"2,470",70.6
185,UTRGV (UTRGV),31,6-25,"2,114",68.2
126,UTSA (Southland),34,20-14,"2,384",70.1
59,Valparaiso (Horizon),35,23-12,"2,564",73.3
29,Vanderbilt (SEC),34,23-11,"2,581",75.9
92,VCU (CAA),40,28-12,"2,864",71.6
220,Vermont (America East),32,23-9,"2,147",67.1
76,Villanova (AAC),33,21-12,"2,384",72.2
122,Virginia Tech (ACC),34,22-12,"2,390",70.3
302,Virginia (ACC),31,16-15,"1,918",61.9
1,VMI (Big South),31,18-13,"2,726",87.9
203,Wagner (NEC),30,13-17,"2,029",67.6
216,Wake Forest (ACC),32,8-24,"2,151",67.2
65,Washington St. (Pac-12),35,22-13,"2,550",72.9
3,Washington (Pac-12),35,24-11,"2,907",83.1
129,Weber St. (Big Sky),32,18-14,"2,243",70.1
142,West Virginia (AAC),33,21-12,"2,303",69.8
142,Western Caro. (SoCon),33,18-15,"2,303",69.8
334,Western Ill. (Summit League),30,7-23,"1,719",57.3
131,Western Ky. (Sun Belt),32,16-16,"2,242",70.1
84,Western Mich. (MAC),34,21-13,"2,440",71.8
68,Wichita St. (MVC),37,29-8,"2,690",72.7
281,William & Mary (CAA),32,10-22,"2,051",64.1
252,Winthrop (Big South),30,13-17,"1,973",65.8
195,Wisconsin (Big Ten),34,25-9,"2,310",67.9
56,Wofford (SoCon),34,21-13,"2,502",73.6
275,Wright St. (Horizon),33,19-14,"2,123",64.3
249,Wyoming (Mountain West),31,10-21,"2,044",65.9
79,Xavier (Atlantic 10),32,24-8,"2,306",72.1
188,Yale (Ivy League),28,15-13,"1,908",68.1
158,Youngstown St. (Horizon),30,9-21,"2,072",69.1
