Rank,Team,GM,W-L,AST,TO,Ratio
245,Southeast Mo. St. (OVC),32,10-22,389,463,0.84
104,Southeastern La. (Southland),29,15-14,415,389,1.07
120,Southern California (Pac-12),34,19-15,402,390,1.03
269,Southern Ill. (MVC),32,13-19,365,456,0.80
134,Southern Miss. (C-USA),32,22-10,380,379,1.00
317,Southern U. (SWAC),30,4-26,350,498,0.70
221,Southern Utah (Summit League),30,11-19,423,479,0.88
230,St. Bonaventure (Atlantic 10),31,16-15,398,459,0.87
226,St. Francis Brooklyn (NEC),30,15-15,349,399,0.87
125,St. John's (NY) (AAC),33,21-12,417,408,1.02
233,Stanford (Pac-12),31,15-16,360,416,0.87
331,Stetson (ASUN),31,8-23,295,501,0.59
287,Stony Brook (America East),32,15-17,304,395,0.77
21,Syracuse (AAC),35,27-8,566,433,1.31
74,TCU (Mountain West),33,11-22,474,418,1.13
11,Temple (Atlantic 10),34,26-8,511,368,1.39
252,Tennessee St. (OVC),30,14-16,373,451,0.83
235,Tennessee Tech (OVC),33,20-13,462,536,0.86
151,Tennessee (SEC),34,19-15,443,454,0.98
115,Texas A&M (Big 12),33,24-9,444,426,1.04
298,Texas Southern (SWAC),32,19-13,392,527,0.74
212,Texas St. (Southland),32,16-16,440,490,0.90
159,Texas Tech (Big 12),32,13-19,426,442,0.96
71,Texas (Big 12),36,28-8,485,425,1.14
144,The Citadel (SoCon),32,10-22,402,407,0.99
285,Toledo (MAC),32,4-28,392,509,0.77
176,Towson (CAA),30,4-26,342,361,0.95
167,Troy (Sun Belt),29,8-21,395,414,0.95
91,Tulane (C-USA),30,13-17,403,367,1.10
250,Tulsa (C-USA),32,19-13,365,441,0.83
97,UAB (C-USA),31,22-9,420,387,1.09
105,UC Davis (Big West),30,10-20,450,422,1.07
180,UC Irvine (Big West),32,13-19,390,412,0.95
232,UC Riverside (Big West),31,12-19,374,432,0.87
135,UC Santa Barbara (Big West),32,18-14,457,456,1.00
216,UCF (C-USA),33,21-12,405,454,0.89
147,UCLA (Pac-12),34,23-11,493,501,0.98
66,UConn (AAC),41,32-9,534,466,1.15
306,UIC (Horizon),31,7-24,361,497,0.73
316,ULM (Sun Belt),31,7-24,311,441,0.71
225,UMBC (America East),30,5-25,346,395,0.88
241,UMES (MEAC),31,9-22,382,450,0.85
153,UNC Asheville (Big South),34,20-14,492,506,0.97
296,UNC Greensboro (SoCon),31,7-24,353,473,0.75
254,UNCW (CAA),31,13-18,350,424,0.83
69,UNI (MVC),34,20-14,359,314,1.14
40,UNLV (Mountain West),33,24-9,507,414,1.22
313,UT Arlington (Southland),29,13-16,362,510,0.71
308,UT Martin (OVC),33,12-21,362,504,0.72
32,Utah St. (WAC),34,30-4,500,402,1.24
132,Utah Valley (Utah Valley),30,19-11,416,414,1.00
318,Utah (Mountain West),31,13-18,298,425,0.70
39,UTEP (C-USA),35,25-10,538,438,1.23
268,UTRGV (UTRGV),31,6-25,382,475,0.80
189,UTSA (Southland),34,20-14,430,461,0.93
64,Valparaiso (Horizon),35,23-12,553,481,1.15
121,Vanderbilt (SEC),34,23-11,454,441,1.03
25,VCU (CAA),40,28-12,583,452,1.29
200,Vermont (America East),32,23-9,395,430,0.92
65,Villanova (AAC),33,21-12,450,392,1.15
128,Virginia Tech (ACC),34,22-12,425,419,1.01
113,Virginia (ACC),31,16-15,354,339,1.04
76,VMI (Big South),31,18-13,462,411,1.12
205,Wagner (NEC),30,13-17,419,460,0.91
304,Wake Forest (ACC),32,8-24,362,494,0.73
111,Washington St. (Pac-12),35,22-13,466,445,1.05
10,Washington (Pac-12),35,24-11,593,426,1.39
148,Weber St. (Big Sky),32,18-14,401,408,0.98
38,West Virginia (AAC),33,21-12,491,397,1.24
169,Western Caro. (SoCon),33,18-15,432,453,0.95
283,Western Ill. (Summit League),30,7-23,313,402,0.78
256,Western Ky. (Sun Belt),32,16-16,392,475,0.83
174,Western Mich. (MAC),34,21-13,442,465,0.95
36,Wichita St. (MVC),37,29-8,572,462,1.24
131,William & Mary (CAA),32,10-22,426,423,1.01
215,Winthrop (Big South),30,13-17,352,394,0.89
1,Wisconsin (Big Ten),34,25-9,442,258,1.71
44,Wofford (SoCon),34,21-13,487,404,1.21
179,Wright St. (Horizon),33,19-14,337,356,0.95
299,Wyoming (Mountain West),31,10-21,324,436,0.74
90,Xavier (Atlantic 10),32,24-8,424,386,1.10
188,Yale (Ivy League),28,15-13,355,380,0.93
29,Youngstown St. (Horizon),30,9-21,454,359,1.26
