Rank,Team,GM,W-L,FGM,FGA,FG%
195,Cal Poly (Big West),33,18-15,772,"1,800",42.9
30,Cal St. Fullerton (Big West),31,21-10,833,"1,763",47.2
21,California (Pac-12),34,24-10,893,"1,878",47.6
11,Campbell (Big South),32,17-15,846,"1,748",48.4
292,Canisius (MAAC),30,5-25,704,"1,731",40.7
253,Central Ark. (Southland),29,8-21,786,"1,884",41.7
219,Central Conn. St. (NEC),29,13-16,717,"1,689",42.5
318,Central Mich. (MAC),32,11-21,700,"1,772",39.5
111,Charleston So. (Big South),31,19-12,835,"1,866",44.7
277,Charlotte (Atlantic 10),30,13-17,693,"1,684",41.2
268,Chattanooga (SoCon),32,11-21,765,"1,849",41.4
313,Chicago St. (GWC),30,4-26,688,"1,732",39.7
239,Cincinnati (AAC),37,26-11,924,"2,194",42.1
175,Clemson (ACC),31,16-15,736,"1,701",43.3
112,Cleveland St. (Horizon),33,22-11,804,"1,798",44.7
10,Coastal Carolina (Big South),31,19-12,853,"1,753",48.7
208,Col. of Charleston (SoCon),31,19-12,754,"1,769",42.6
188,Colgate (Patriot),30,8-22,660,"1,532",43.1
32,Colorado St. (Mountain West),32,20-12,764,"1,621",47.1
119,Colorado (Pac-12),36,24-12,835,"1,874",44.6
190,Columbia (Ivy League),30,15-15,683,"1,586",43.1
178,Coppin St. (MEAC),30,14-16,756,"1,749",43.2
290,Cornell (Ivy League),28,12-16,639,"1,567",40.8
2,Creighton (MVC),35,29-6,975,"1,935",50.4
87,CSU Bakersfield (Independent),31,16-15,761,"1,677",45.4
329,CSUN (Big West),28,7-21,641,"1,671",38.4
323,Dartmouth (Ivy League),30,5-25,592,"1,504",39.4
117,Davidson (SoCon),33,25-8,879,"1,969",44.6
149,Dayton (Atlantic 10),33,20-13,814,"1,860",43.8
161,Delaware St. (MEAC),29,15-14,694,"1,596",43.5
207,Delaware (CAA),32,18-14,746,"1,750",42.6
8,Denver (Sun Belt),31,22-9,728,"1,493",48.8
